Test unit,WS1.175
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.44,-27.7,-0.109
-1.44,-26.2,-0.109
-1.28,-23.9,-0.096
-1.11,-20.4,-0.084
-0.95,-16.7,-0.072
-0.78,-13.5,-0.059
-0.62,-10.5,-0.047
-0.54,-7.7,-0.04
-0.37,-5.1,-0.028
-0.29,-2.7,-0.022
-0.12,-0.5,-0.009
-0.04,0.2,-0.003
0.04,2.7,0.003
0.12,4.2,0.009
0.29,6.3,0.022
0.29,8.2,0.022
0.37,9.8,0.028
0.54,12.3,0.04
0.78,15,0.059
0.95,17.6,0.072
1.03,20.1,0.078
1.2,22.3,0.09
1.36,24.8,0.103
1.61,27.2,0.121
1.69,28.9,0.128
1.61,24.2,0.121
1.36,20.7,0.103
1.2,16.4,0.09
0.95,12.7,0.072
0.78,9.2,0.059
0.7,6.6,0.053
0.37,1.8,0.028
0.29,0.1,0.022
0.29,-1.1,0.022
0.12,-3,0.009
0.04,-5.6,0.003
-0.21,-7.7,-0.016
-0.37,-13.2,-0.028
-0.54,-15.2,-0.04
-0.7,-17.6,-0.053
-0.95,-20.1,-0.072
-0.95,-22,-0.072
-1.11,-23.9,-0.084
-1.61,-16.4,-0.121
NaN,NaN,NaN
-3.42,-50.1,-0.258
-2.74,-41,-0.207
-1.72,-24.6,-0.13
-1.05,-13.9,-0.079
-0.37,-3.3,-0.028
0.07,5.2,0.005
0.74,15.3,0.056
1.69,28.9,0.128
2.02,34.6,0.152
2.65,39.6,0.2
3.38,43.6,0.255
4,46.6,0.302
3.73,44,0.282
2.88,35.6,0.217
2.58,29.2,0.195
1.92,22.6,0.145
1.17,9.4,0.088
0.58,0.1,0.043
0.29,-4.6,0.022
-0.32,-15.4,-0.024
-0.95,-23.9,-0.072
-1.64,-33.1,-0.124
-1.99,-38.8,-0.15
-2.43,-44.5,-0.184
-3.18,-51.9,-0.24
-3.26,-51.3,-0.246
NaN,NaN,NaN
-5.81,-59.3,-0.439
-4.56,-55,-0.344
-4.02,-50,-0.303
-3.49,-44.8,-0.264
-2.76,-33,-0.209
-2.13,-23.1,-0.161
-1.83,-18.3,-0.138
-1.2,-10.8,-0.09
-0.45,2.3,-0.034
0.12,12.9,0.009
0.8,23.5,0.06
2.13,40.4,0.161
2.93,46.6,0.221
3.05,46.1,0.23
4.03,51.6,0.304
4.95,54.3,0.373
6.15,54.8,0.464
5.24,51.6,0.395
4.16,47.1,0.314
3.71,44.7,0.28
2.74,36.2,0.207
1.87,23.8,0.141
1.23,14.5,0.093
0.49,2.4,0.037
-0.1,-6.5,-0.007
-0.69,-17.3,-0.052
-1.88,-33.7,-0.142
-2.43,-42.4,-0.183
-3.13,-50.1,-0.237
-4.34,-58.1,-0.327
-5.78,-60.4,-0.436
-5.81,-60.5,-0.439
NaN,NaN,NaN
-8.37,-63.5,-0.632
-7.46,-60.2,-0.563
-6.08,-58.3,-0.459
-4.99,-51.6,-0.377
-4.76,-48.7,-0.359
-4.07,-40.1,-0.307
-3.34,-34.1,-0.252
-2.81,-22.1,-0.212
-2.15,-11.2,-0.162
-0.83,10.6,-0.062
-0.04,21.1,-0.003
0.23,25.5,0.017
1.56,43.2,0.118
2.6,52.2,0.196
3.84,55.8,0.289
5.4,57.3,0.408
6.59,58.3,0.497
8.34,58.5,0.629
7.55,57.3,0.57
6.02,54.9,0.454
4.25,52.9,0.321
3.45,49.8,0.261
2.17,35.6,0.164
1.57,28,0.118
0.89,16.8,0.067
0.32,8.4,0.024
-0.07,1.3,-0.006
-0.39,-2.9,-0.03
-1.23,-16.8,-0.093
-2.33,-34.6,-0.176
-2.98,-42.7,-0.225
-4.22,-56.3,-0.318
-5.13,-60.2,-0.387
-6.62,-62,-0.5
-8.14,-63.7,-0.614
-8.54,-63.5,-0.644
NaN,NaN,NaN
-13.73,-65.1,-1.036
-12.99,-64.4,-0.981
-12.04,-62.8,-0.909
-10.34,-61.5,-0.781
-8.59,-59.5,-0.648
-7.13,-58.2,-0.538
-5.72,-56.8,-0.432
-4.74,-46.8,-0.358
-3.66,-33.8,-0.276
-2.7,-18.3,-0.204
-1.26,4.8,-0.095
0.23,27.3,0.017
1.2,41,0.09
2.21,50.6,0.167
3.26,53.6,0.246
4.74,55.8,0.358
6.06,57.3,0.457
