Test unit,WR2.175
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.89,-22.7,-0.142
-1.53,-15.4,-0.115
-0.8,-3.5,-0.06
-0.49,0.2,-0.037
-0.21,4.3,-0.016
0.17,10,0.013
0.46,13.7,0.035
0.81,18.1,0.061
1.3,22.1,0.098
1.48,24,0.111
1.8,27.7,0.136
1.08,15.4,0.081
0.8,12.2,0.06
0.38,8,0.028
0.04,2.4,0.003
-0.13,-0.1,-0.009
-0.33,-2.6,-0.025
-0.46,-6,-0.035
-0.8,-9.5,-0.06
-0.99,-11.6,-0.075
-1.42,-17.4,-0.108
-1.8,-21.8,-0.136
NaN,NaN,NaN
-2.98,-31.1,-0.225
-2.81,-28.6,-0.212
-2.47,-21.5,-0.187
-2.14,-17.1,-0.161
-1.89,-13.6,-0.142
-1.63,-9.7,-0.123
-1.45,-6.1,-0.109
-1.37,-3.8,-0.103
-1.14,-2.8,-0.086
-0.88,0.2,-0.066
-0.38,6.6,-0.028
-0.08,10.7,-0.006
0.3,14.2,0.023
0.63,18.2,0.047
1.08,22.6,0.081
1.42,26.9,0.107
1.72,30.5,0.13
2.04,32,0.154
2.41,34.3,0.182
2.73,37,0.206
2.96,38,0.223
2.48,31.4,0.187
1.96,26.1,0.148
1.55,22.1,0.117
1.21,17.5,0.091
0.63,10.2,0.047
0.5,7.9,0.037
0.29,5,0.022
-0.04,1.5,-0.003
-0.21,-0.5,-0.016
-0.44,-2.8,-0.033
-0.65,-5.6,-0.049
-0.96,-9.5,-0.073
-1.3,-12,-0.098
-1.38,-15,-0.104
-1.77,-18,-0.134
-2.06,-21.9,-0.156
-2.31,-24.6,-0.174
-2.44,-27,-0.184
-2.81,-29.9,-0.212
-2.81,-30.5,-0.212
NaN,NaN,NaN
-3.98,-38.6,-0.301
-3.95,-35.2,-0.298
-3.31,-26,-0.25
-3.03,-21.3,-0.228
-2.7,-16.7,-0.203
-2.22,-10.6,-0.167
-2.05,-6.9,-0.155
-1.64,-3.3,-0.123
-1.55,-1,-0.117
-1.19,1.2,-0.09
-0.75,6.9,-0.056
-0.25,12.6,-0.019
0.32,18.3,0.024
0.63,22.1,0.047
0.95,24.9,0.072
1.8,32,0.136
2.15,34.8,0.163
3.06,41.2,0.231
3.57,43.5,0.27
3.98,46,0.301
3.98,43.5,0.301
3.48,40,0.263
3.23,36.7,0.244
2.98,36,0.225
2.73,32.2,0.206
2.5,31.5,0.189
1.8,22.7,0.136
1.3,15.7,0.098
1.01,15,0.076
0.84,12,0.063
0.67,9.1,0.051
0.13,4.7,0.009
-0.17,1.2,-0.013
-0.38,-0.6,-0.028
-0.68,-4.7,-0.051
-1.05,-7.7,-0.079
-1.17,-10.9,-0.089
-1.64,-15.1,-0.123
-1.87,-18.1,-0.141
-2.31,-21.8,-0.174
-2.64,-26.6,-0.199
-2.97,-29.5,-0.224
-3.56,-34.4,-0.269
-3.89,-37.2,-0.294
-3.98,-37.6,-0.301
NaN,NaN,NaN
-6.42,-46.3,-0.484
-6.35,-43.6,-0.479
-5.78,-36.8,-0.436
-5.35,-32.3,-0.403
-5.03,-28.8,-0.38
-4.71,-25.4,-0.356
-4.35,-21,-0.328
-3.98,-17.1,-0.301
-3.44,-11.5,-0.26
-3.06,-7.9,-0.231
-2.73,-3,-0.206
-2.39,-0.2,-0.18
-1.42,9.2,-0.108
-0.63,17.9,-0.047
0.21,24.4,0.016
0.88,30.8,0.066
1.55,36.4,0.117
2.22,40.4,0.168
2.71,43.1,0.205
2.39,38.4,0.18
2.98,44.8,0.225
3.65,47.7,0.275
3.77,47.4,0.284
4.4,50.2,0.332
5.04,51.9,0.38
5.7,54.1,0.43
6.67,55.9,0.503
5.83,50.9,0.44
5.16,48.1,0.389
4.65,44.8,0.351
4.19,42,0.316
3.73,38.7,0.282
3.33,34.7,0.252
2.81,30.4,0.212
1.57,18.7,0.118
1.05,15.3,0.079
0.9,12,0.068
0.38,6.8,0.028
0.04,2.7,0.003
-0.38,-0.8,-0.028
-0.85,-6.1,-0.064
-1.38,-11.4,-0.104
-1.8,-14.7,-0.136
-2.24,-18.9,-0.169
-2.56,-22.4,-0.193
-2.98,-25.7,-0.225
-3.56,-29.8,-0.269
-4.01,-33,-0.303
-4.57,-37.3,-0.345
