Test unit,WS1.100
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.62,-16.5,-0.122
-1.54,-16.5,-0.116
-1.62,-15.6,-0.122
-1.37,-13.1,-0.104
-1.21,-10.5,-0.091
-0.96,-8.1,-0.072
-0.79,-5.9,-0.06
-0.71,-3.9,-0.053
-0.46,-2.1,-0.035
-0.46,-0.5,-0.035
-0.29,-0.1,-0.022
-0.21,1.5,-0.016
-0.04,3,-0.003
0.04,4.1,0.003
0.21,5.9,0.016
0.37,7.1,0.028
0.46,8.4,0.035
0.62,9.9,0.047
0.87,11.3,0.066
0.96,12.5,0.072
1.12,13.9,0.085
1.37,15.8,0.104
1.7,17.9,0.129
1.79,19.3,0.135
1.95,20.1,0.147
2.2,21.1,0.166
2.2,21.8,0.166
2.12,20.1,0.16
1.95,17.3,0.147
1.7,15.1,0.129
1.54,13.1,0.116
1.29,11,0.097
1.12,9.1,0.085
0.96,7.1,0.072
0.71,5,0.053
0.62,2.4,0.047
0.37,1.5,0.028
0.29,0.2,0.022
0.29,-0.4,0.022
0.21,-1,0.016
0.21,-1.8,0.016
-0.04,-3.6,-0.003
-0.21,-5.5,-0.016
-0.37,-7.1,-0.028
-0.54,-8.7,-0.041
-0.62,-10.2,-0.047
-0.79,-11.8,-0.06
-0.96,-12.8,-0.072
-1.04,-14.4,-0.078
-1.37,-16.1,-0.104
-1.46,-17.6,-0.11
-1.46,-16.5,-0.11
-1.29,-14.4,-0.097
-1.12,-11.8,-0.085
-0.96,-9.6,-0.072
-0.79,-7.1,-0.06
-0.62,-5.5,-0.047
-0.46,-3,-0.035
-0.29,-1.6,-0.022
-0.12,-0.4,-0.009
0.04,2.1,0.003
0.21,3.3,0.016
0.29,3.8,0.022
0.37,5.6,0.028
0.54,7.5,0.041
0.71,8.8,0.053
0.87,11,0.066
1.12,12.5,0.085
1.29,13.9,0.097
1.46,15.4,0.11
1.62,17.3,0.122
1.79,18.5,0.135
2.04,20.2,0.154
2.2,21.1,0.166
2.29,22.1,0.173
2.12,19.3,0.16
1.79,16.7,0.135
1.7,14.7,0.129
1.46,12.8,0.11
1.29,11,0.097
1.12,8.7,0.085
0.87,6.8,0.066
0.79,4.7,0.06
0.62,3.6,0.047
0.37,1.8,0.028
0.37,0.2,0.028
0.29,-0.5,0.022
0.21,-0.4,0.016
0.12,-2.1,0.009
-0.04,-3.9,-0.003
-0.29,-5.5,-0.022
-0.29,-6.4,-0.022
-0.54,-8.7,-0.041
-0.71,-9.9,-0.053
-0.79,-11.8,-0.06
-1.04,-12.8,-0.078
-1.12,-14.7,-0.085
-1.29,-16.5,-0.097
NaN,NaN,NaN
-3.53,-30.8,-0.267
-3.53,-29.6,-0.267
-3.53,-30.2,-0.267
-3.37,-27.7,-0.254
-3.12,-26.1,-0.235
-2.87,-23.9,-0.217
-2.79,-22.2,-0.21
-2.54,-20.1,-0.191
-2.37,-18.5,-0.179
-2.29,-16.8,-0.173
-1.95,-15,-0.147
-1.87,-13.1,-0.141
-1.7,-11.5,-0.129
-1.62,-9.9,-0.122
-1.46,-8.4,-0.11
-1.21,-6.7,-0.091
-1.12,-5.5,-0.085
-0.96,-3.6,-0.072
-0.71,-1.8,-0.053
-0.62,-0.4,-0.047
-0.62,0.2,-0.047
-0.46,0.8,-0.035
-0.46,2.4,-0.035
-0.29,3.6,-0.022
-0.04,5.3,-0.003
0.04,7.1,0.003
0.29,8.8,0.022
0.37,9.9,0.028
0.46,11.3,0.035
0.62,12.5,0.047
0.87,13.8,0.066
1.04,15.4,0.078
1.21,17.3,0.091
1.46,18.8,0.11
1.7,20.2,0.129
1.79,21.8,0.135
2.04,23,0.154
2.2,23.9,0.166
2.29,24.7,0.173
2.62,26.2,0.198
2.87,26.8,0.217
3.12,28.1,0.235
3.2,28.4,0.242
4.12,30.1,0.311
4.28,30.5,0.323
4.45,30.5,0.336
4.7,31,0.355
4.53,30.5,0.342
4.03,27.4,0.304
3.78,25.6,0.286
3.53,24.2,0.267
3.53,22.4,0.267
3.2,20.2,0.242
3.12,18.8,0.235
2.79,15.1,0.21
2.45,12.5,0.185
2.37,11,0.179
2.2,9.1,0.166
1.95,7.5,0.147
1.87,5.6,0.141
1.7,4.1,0.129
1.46,1.5,0.11
1.46,-0.4,0.11
