Test unit,WR1.175
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.8,-16.8,-0.06
-0.7,-13.3,-0.053
-0.45,-7.6,-0.034
-0.22,-4,-0.017
-0.04,-0.9,-0.003
0.04,0.1,0.003
0.21,3,0.016
0.38,5.8,0.029
0.48,7.9,0.037
0.82,13.2,0.062
1.05,14.7,0.079
0.91,13.6,0.069
0.8,9.7,0.06
0.6,5.3,0.046
0.37,1.4,0.028
0.21,-0.2,0.016
0.21,-1.2,0.016
0.04,-5,0.003
-0.29,-8.5,-0.022
-0.53,-12.1,-0.04
-0.62,-14.8,-0.046
-0.63,-15,-0.048
NaN,NaN,NaN
-1.64,-27.9,-0.124
-1.64,-26.3,-0.124
-1.36,-20.6,-0.103
-0.86,-12.2,-0.065
-0.83,-9.4,-0.062
-0.55,-7,-0.042
-0.21,-0.5,-0.016
0.04,1.2,0.003
0.29,6,0.022
0.55,9.9,0.041
0.8,12.8,0.06
1.16,18.4,0.088
1.47,22.2,0.111
1.64,24.7,0.124
1.86,26.7,0.14
2.06,28.2,0.155
1.8,22.3,0.135
1.3,14.3,0.098
0.95,8.9,0.071
0.71,4.7,0.054
0.42,0.4,0.032
0.38,-0.5,0.029
0.13,-3.8,0.01
-0.13,-8.3,-0.01
-0.39,-12.1,-0.03
-0.63,-14.6,-0.048
-0.81,-16.9,-0.061
-1.13,-20.9,-0.086
-1.16,-23,-0.087
-1.56,-27,-0.118
-1.64,-27.5,-0.124
NaN,NaN,NaN
-2.73,-39.2,-0.206
-2.56,-36.5,-0.193
-2.17,-28.3,-0.164
-1.64,-21.6,-0.124
-1.55,-18.2,-0.117
-1.01,-10.8,-0.076
-0.38,-2.1,-0.029
-0.21,1.2,-0.016
0.27,3.3,0.021
0.12,6.3,0.009
0.4,9.1,0.03
0.63,12.2,0.048
1.06,17.1,0.08
1.47,22.6,0.111
1.78,27.5,0.134
1.91,29.6,0.144
2.06,30,0.155
2.56,31.6,0.193
2.73,34.8,0.206
3.07,37.9,0.231
2.98,35.3,0.225
2.81,32.5,0.212
2.48,27.7,0.187
2,21.3,0.151
1.58,15.9,0.12
1.39,13.1,0.105
1.13,8.1,0.086
0.84,4,0.064
0.55,-0.2,0.041
0.25,-2.7,0.019
-0.28,-9.4,-0.021
-0.71,-16.1,-0.054
-1.05,-20.1,-0.079
-1.39,-23.5,-0.105
-1.55,-27.5,-0.117
-1.9,-30,-0.144
-2.25,-34.1,-0.17
-2.31,-37.6,-0.174
-2.56,-38.9,-0.193
NaN,NaN,NaN
-3.74,-47.1,-0.282
-3.32,-43.1,-0.25
-2.98,-38.9,-0.225
-2.73,-33,-0.206
-2.48,-28.6,-0.187
-2.01,-21.9,-0.152
-1.64,-17.6,-0.124
-1.36,-12.3,-0.103
-0.63,-4.1,-0.048
-0.29,0.4,-0.022
0.02,5,0.002
0.46,10,0.035
0.97,17.3,0.073
1.44,22.4,0.109
1.81,27.2,0.136
2.25,30.7,0.169
2.56,33.7,0.193
2.98,36.7,0.225
3.53,40.6,0.267
4.14,43.3,0.312
4.24,42,0.32
3.74,37.4,0.282
3.32,33.4,0.25
2.95,29.5,0.222
2.41,22.8,0.182
1.91,18.3,0.144
1.55,14.2,0.117
1.39,10.2,0.105
0.96,5.5,0.072
0.55,-0.1,0.041
0.29,-2.6,0.022
0.04,-5.6,0.003
-0.43,-11.8,-0.033
-0.8,-15.8,-0.06
-1.13,-20,-0.086
-1.42,-23.8,-0.107
-1.82,-27.7,-0.137
-2.19,-32.7,-0.165
-2.59,-36.9,-0.196
-3.05,-40.4,-0.23
-3.33,-44.1,-0.251
-3.57,-46.3,-0.269
NaN,NaN,NaN
-6,-57,-0.453
-5.68,-53.9,-0.428
-5.16,-50.5,-0.39
-4.81,-47.2,-0.363
-4.33,-42.5,-0.327
-3.88,-37.8,-0.293
-3.48,-34.1,-0.263
-2.93,-25.9,-0.221
-2.42,-19.7,-0.182
-1.75,-11.8,-0.132
-1.33,-7,-0.101
-0.76,-0.8,-0.057
-0.49,2.5,-0.037
0.14,9.8,0.011
0.74,15.8,0.056
1.18,21.7,0.089
1.64,24.7,0.124
1.8,26.9,0.136
2.43,32.5,0.183
2.98,35.8,0.225
3.48,39.3,0.263
3.99,42.3,0.301
4.7,45.8,0.355
