Test unit,WS3.175
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.51,-29.2,-0.114
-1.42,-29.2,-0.108
-1.42,-27.2,-0.108
-1.34,-24.4,-0.101
-1.17,-20.9,-0.089
-0.92,-17,-0.07
-0.75,-12.8,-0.057
-0.5,-8.6,-0.038
-0.34,-5,-0.025
-0.25,-2.4,-0.019
-0.17,-0.2,-0.013
-0.08,0.2,-0.006
0,1.2,0
0.08,2.7,0.006
0.25,4.1,0.019
0.34,6.3,0.025
0.42,9.2,0.032
0.5,11.7,0.038
0.75,14.4,0.057
0.92,16.7,0.07
1.17,19,0.089
1.26,20.9,0.095
1.42,22.7,0.108
1.42,23.7,0.108
1.59,25.4,0.12
1.59,26.3,0.12
1.68,26.3,0.126
1.59,22.7,0.12
1.34,18.2,0.101
1.17,14.7,0.089
1.01,12.2,0.076
0.75,8.6,0.057
0.67,5.7,0.051
0.5,3,0.038
0.34,0.2,0.025
0.34,-1,0.025
0.25,-2.4,0.019
0.08,-4.1,0.006
0,-6.9,0
-0.17,-8.9,-0.013
-0.25,-11.7,-0.019
-0.42,-14.4,-0.032
-0.5,-16.8,-0.038
-0.75,-19.6,-0.057
-0.92,-21.8,-0.07
-1.01,-24,-0.076
-1.17,-26.6,-0.089
-1.59,-16.5,-0.12
NaN,NaN,NaN
-3.35,-51.1,-0.253
-2.81,-42.3,-0.212
-2.2,-33,-0.166
-1.72,-25,-0.13
-0.96,-14,-0.072
-0.2,-1.9,-0.015
0.07,4.4,0.005
1.17,20.4,0.088
2.14,33.4,0.161
2.85,40.5,0.215
3.57,45.1,0.269
3.87,46.4,0.292
3.08,35.9,0.232
1.86,20.2,0.141
1.21,7.7,0.091
0.72,1,0.054
0.5,-2.5,0.038
-0.45,-17.1,-0.034
-1.08,-28.8,-0.081
-2,-40.4,-0.151
-2.98,-51.3,-0.225
-3.27,-52.2,-0.247
NaN,NaN,NaN
-5.45,-61.5,-0.411
-4.63,-58.1,-0.349
-3.29,-43.8,-0.248
-1.99,-26.4,-0.15
-0.72,-6.7,-0.055
-0.14,3.6,-0.01
0.69,14.5,0.052
1.58,27.6,0.119
2.2,35.4,0.166
2.85,42.9,0.215
4.99,54.2,0.376
6.26,57.3,0.473
5.82,53.9,0.44
4.6,46.9,0.347
3.4,36.9,0.256
2.64,26,0.2
1.26,7.8,0.095
0.46,-5.8,0.035
-0.5,-20.1,-0.038
-0.98,-28.1,-0.074
-1.93,-41,-0.145
-2.95,-52.1,-0.222
-4.02,-61.2,-0.304
-5.36,-63.4,-0.405
NaN,NaN,NaN
-7.79,-66,-0.588
-6.87,-63.8,-0.519
-5.36,-60.8,-0.404
-4.16,-51.1,-0.314
-3.23,-37.4,-0.244
-2.66,-30,-0.201
-2.05,-20.7,-0.155
-1.6,-14.5,-0.121
-0.75,-2.1,-0.057
-0.14,8.9,-0.01
0.94,13,0.071
0.48,17.5,0.036
1.28,29.8,0.097
2.32,41.8,0.175
2.97,49.1,0.224
3.85,55.5,0.291
5.03,58.3,0.379
6.66,59.8,0.502
8.42,61.4,0.636
7.97,58.7,0.602
6.45,56.7,0.487
4.9,53.5,0.37
3.41,40.4,0.257
2.57,28.6,0.194
1.34,11.4,0.101
0.67,0.2,0.051
0.39,-3.2,0.029
-0.44,-16.1,-0.033
-1.2,-28.1,-0.091
-2.24,-42.6,-0.169
-3.64,-59,-0.275
-4.53,-63.1,-0.342
-6.15,-65.2,-0.464
-7.79,-66.6,-0.588
NaN,NaN,NaN
-10.31,-67.4,-0.778
-8.55,-64.5,-0.645
-7.05,-62.9,-0.532
-5.38,-60.9,-0.406
-4.25,-56,-0.321
-2.05,-23.7,-0.154
-1.05,-9.7,-0.079
-0.5,1.5,-0.038
-0.23,3,-0.017
0.84,18.9,0.064
1.79,34,0.135
2.64,43.7,0.199
3.73,53.2,0.281
4.86,57,0.367
5.98,58.4,0.452
7.69,60.2,0.58
9.22,61.5,0.696
10.79,62.4,0.815
9.81,59.7,0.741
8.55,58,0.645
6.91,56,0.521
5.49,53.5,0.415
4.15,46.3,0.313
3.16,35,0.238
1.91,18.7,0.144
0.75,0.9,0.057
0.48,-1.9,0.037
0.39,-1.2,0.03
0.03,-10.6,0.002
-0.6,-19.6,-0.045
-1.42,-32.9,-0.108
