Test unit,WI1.175
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.54,-6.8,-0.041
-0.57,-6.1,-0.043
-0.56,-4.9,-0.042
-0.37,-2.5,-0.028
-0.29,-0.1,-0.022
-0.2,1.9,-0.015
-0.04,3.7,-0.003
0.04,5.8,0.003
0.29,7.7,0.022
0.31,10,0.023
0.5,11.6,0.038
0.79,15.3,0.06
0.95,17.6,0.072
1.01,16.9,0.076
0.83,13.8,0.063
0.73,11.2,0.055
0.44,6.5,0.033
0.29,5,0.022
0.04,2.1,0.003
-0.04,1,-0.003
-0.04,-0.2,-0.003
-0.12,-1,-0.009
-0.34,-3.4,-0.026
-0.39,-5.2,-0.03
-0.54,-5.9,-0.041
NaN,NaN,NaN
-1.53,-13.7,-0.115
-1.4,-9.7,-0.106
-1.11,-4.2,-0.084
-0.85,-1.1,-0.064
-0.73,1.1,-0.055
-0.56,2.8,-0.042
-0.31,6.4,-0.023
-0.04,9.9,-0.003
0.12,12.3,0.009
0.3,13.8,0.023
0.59,17.1,0.045
0.87,19.3,0.065
0.95,20.8,0.072
1.34,24.7,0.101
1.61,27.1,0.122
1.71,27.8,0.129
2,29.7,0.151
2.06,29.8,0.155
1.63,23.5,0.123
1.49,20.9,0.112
1.21,17.5,0.091
1.01,15.1,0.076
0.76,11.5,0.057
0.54,9,0.041
0.37,7.4,0.028
0.29,4.8,0.022
0.04,3.4,0.003
-0.14,1.1,-0.011
-0.24,0.3,-0.018
-0.37,-0.8,-0.028
-0.54,-3.1,-0.041
-0.78,-5.7,-0.059
-1.05,-9,-0.08
-1.27,-11.5,-0.096
-1.45,-12.8,-0.109
NaN,NaN,NaN
-2.6,-20.2,-0.196
-2.47,-18,-0.186
-2.07,-11.3,-0.156
-1.77,-9.4,-0.134
-1.67,-5.5,-0.126
-1.37,-2.1,-0.103
-1.2,0.4,-0.09
-0.8,5.2,-0.061
-0.62,7.7,-0.047
-0.21,12.9,-0.016
0.04,15.1,0.003
0.36,18.4,0.027
0.56,20.5,0.043
0.97,24.3,0.073
1.28,27,0.097
1.46,27.9,0.11
1.81,30.7,0.136
2.11,32.7,0.159
2.44,34,0.184
2.74,36,0.207
3.16,38,0.238
3.34,37.7,0.252
3.09,34.2,0.233
2.67,29.1,0.201
2.11,24.3,0.159
1.62,19,0.122
1.35,16.3,0.102
0.95,12.2,0.072
0.54,7.4,0.041
0.12,4.2,0.009
-0.08,1.4,-0.006
-0.31,-0.5,-0.024
-0.54,-2.5,-0.041
-0.79,-5.5,-0.06
-1.03,-7.6,-0.078
-1.22,-9.7,-0.092
-1.42,-11.7,-0.108
-1.79,-14.4,-0.135
-1.97,-16.5,-0.149
-2.19,-19,-0.165
-2.52,-20.2,-0.19
NaN,NaN,NaN
-3.59,-25.7,-0.271
-3.43,-23.4,-0.259
-3.05,-16.5,-0.23
-2.77,-12.8,-0.209
-2.52,-10.3,-0.191
-2.2,-6.1,-0.166
-1.94,-2.8,-0.146
-1.84,-0.6,-0.139
-1.59,0.8,-0.12
-1.17,6.5,-0.089
-0.88,8.9,-0.066
-0.62,11.7,-0.047
-0.18,15.6,-0.014
0.08,18.4,0.006
0.83,24.3,0.062
1.14,26.7,0.086
1.45,29.9,0.109
1.86,32.1,0.14
2.24,34.3,0.169
2.77,36.7,0.209
3.14,38.5,0.237
3.79,40.4,0.286
4.49,41.5,0.339
4.57,40,0.345
4.22,36.5,0.318
3.63,31.1,0.274
3.21,27.5,0.242
2.74,23.5,0.207
2.44,21.1,0.184
2.11,18.7,0.159
1.9,16.3,0.144
1.58,13.1,0.119
1.2,11.6,0.09
1.11,8.9,0.084
0.84,6.8,0.063
0.37,2.4,0.028
0.04,0.2,0.003
-0.21,-2.1,-0.016
-0.88,-7.6,-0.066
-1.08,-9.8,-0.082
-1.37,-12.2,-0.103
-1.65,-14.7,-0.124
-1.95,-16.9,-0.147
-2.18,-19.2,-0.165
-2.55,-21.9,-0.193
-2.88,-24,-0.217
-3.3,-26.3,-0.249
-3.43,-27.1,-0.259
NaN,NaN,NaN
-5.82,-34.3,-0.439
-5.32,-27.7,-0.402
-4.97,-23.6,-0.375
-4.66,-19.8,-0.352
-4.17,-14.9,-0.315
-3.86,-12.1,-0.292
-3.41,-7.9,-0.258
