Test unit,M12
Reference,Pinho et al. (2012)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0.02,3.3,0.001
0.02,4.3,0.001
0.05,5.6,0.002
0.07,6.6,0.004
0.14,8.1,0.007
0.18,9.3,0.01
0.14,10.8,0.007
0.16,11.3,0.009
0.25,11.9,0.013
0.37,13.4,0.019
0.39,14.5,0.021
0.46,14.6,0.024
0.53,15.7,0.028
0.6,16.4,0.032
0.62,16.3,0.033
0.71,18.1,0.037
0.8,18.9,0.042
0.85,18.3,0.045
0.97,19,0.051
0.94,19.2,0.05
1.06,20.1,0.056
1.2,19.8,0.063
1.2,20.9,0.063
1.29,21,0.068
1.38,21.8,0.073
1.54,21.2,0.081
1.52,21.2,0.08
1.61,22.5,0.085
1.72,21.9,0.091
1.77,22.7,0.093
1.86,22.7,0.098
2.02,22.4,0.107
2.09,22.1,0.11
2.14,23.6,0.112
2.28,22.2,0.12
2.3,23.3,0.121
2.39,22.7,0.126
2.53,22.7,0.133
2.67,22.4,0.14
2.64,22.1,0.139
2.76,23,0.145
2.9,22.2,0.153
2.94,22.4,0.155
2.94,22.1,0.155
2.97,21.8,0.156
2.97,21.8,0.156
3.01,21.6,0.159
3.01,20.7,0.159
3.01,20.9,0.159
3.01,20.6,0.159
3.01,20.7,0.159
3.01,20.4,0.159
3.01,22.4,0.159
3.06,23,0.161
3.2,23.2,0.168
3.29,23,0.173
3.31,23.5,0.174
3.4,23.6,0.179
3.54,23.2,0.186
3.63,22.9,0.191
3.75,23,0.197
3.84,22.9,0.202
3.98,24.1,0.209
4.07,22.2,0.214
4.12,22.7,0.217
4.19,23,0.22
4.39,23.2,0.231
4.46,22.1,0.235
4.51,22.4,0.237
4.6,21.9,0.242
4.69,21.8,0.247
4.83,21.6,0.254
4.9,21.6,0.258
4.99,21.3,0.263
5.08,22.1,0.267
5.24,21.5,0.276
5.31,20.9,0.28
5.4,21.6,0.284
5.52,20.9,0.29
5.61,21.3,0.295
5.7,20.4,0.3
5.77,20.9,0.304
5.89,20.6,0.31
5.98,20.4,0.315
6.12,20.3,0.322
6.28,20.3,0.33
6.32,19.5,0.333
6.51,20.3,0.342
6.51,19.3,0.342
6.6,20,0.347
6.76,19.8,0.356
6.87,19.5,0.362
7.15,19.5,0.376
7.22,19.2,0.38
7.45,19.2,0.392
7.52,19.6,0.396
7.61,19,0.401
7.68,19.6,0.404
7.82,19.3,0.411
7.91,18.6,0.416
7.95,19,0.419
8.09,19.2,0.426
8.25,18,0.434
8.34,19.3,0.439
8.44,17.7,0.444
8.46,17.5,0.445
8.57,17.8,0.451
8.69,18.1,0.457
8.87,18.1,0.467
8.99,18,0.473
9.08,18.3,0.478
9.13,17.4,0.48
