Test unit,E2
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-8.67,-58.7,-0.754
-8.64,-59.7,-0.751
-8.58,-60.7,-0.746
-8.55,-69.5,-0.743
-8.45,-70.4,-0.735
-8.31,-70.5,-0.723
-8.17,-70.5,-0.71
-8.02,-70.7,-0.698
-7.88,-70.8,-0.685
-7.73,-70.8,-0.673
-7.59,-70.7,-0.66
-7.53,-71.7,-0.655
-7.51,-73.4,-0.653
-7.44,-74.4,-0.647
-7.31,-74.7,-0.635
-7.16,-74.7,-0.623
-7.01,-74.7,-0.61
-6.87,-74.6,-0.597
-6.73,-74.3,-0.585
-6.59,-74.2,-0.573
-6.54,-73.7,-0.569
-6.5,-74.8,-0.565
-6.37,-75.3,-0.554
-6.23,-75.5,-0.542
-6.09,-75.3,-0.529
-5.94,-75.3,-0.517
-5.79,-75,-0.504
-5.65,-74.9,-0.492
-5.55,-73.7,-0.483
-5.46,-74.6,-0.475
-5.32,-74.8,-0.463
-5.19,-74.5,-0.451
-5.04,-74.5,-0.438
-4.9,-74.2,-0.426
-4.76,-73.9,-0.414
-4.62,-73.7,-0.401
-4.6,-72.4,-0.4
-4.58,-72.8,-0.398
-4.56,-73.9,-0.397
-4.5,-74,-0.391
-4.43,-73.9,-0.385
-4.35,-73.8,-0.379
-4.28,-73.6,-0.372
-4.21,-73.6,-0.366
-4.14,-73.5,-0.36
-4.07,-73.3,-0.354
-4,-73.2,-0.348
-3.93,-73,-0.342
-3.85,-72.8,-0.335
-3.77,-72.6,-0.328
-3.7,-72.3,-0.322
-3.62,-72.2,-0.315
-3.6,-70.2,-0.313
-3.58,-71.3,-0.311
-3.53,-72,-0.307
-3.46,-72,-0.301
-3.39,-72,-0.295
-3.32,-71.7,-0.289
-3.25,-71.8,-0.283
-3.18,-71.7,-0.277
-3.11,-71.4,-0.27
-3.04,-71.4,-0.264
-2.97,-71.1,-0.258
-2.9,-70.8,-0.252
-2.83,-70.6,-0.246
-2.76,-70.2,-0.24
-2.69,-70.2,-0.233
-2.61,-68.5,-0.227
-2.55,-68.9,-0.222
-2.48,-69,-0.215
-2.41,-68.8,-0.209
-2.35,-68.2,-0.204
-2.27,-68.4,-0.198
-2.21,-67.8,-0.193
-2.15,-67.4,-0.187
-2.13,-64.4,-0.186
-2.12,-65.8,-0.185
-2.12,-65.6,-0.184
-2.1,-66.7,-0.183
-2.04,-67,-0.177
-1.97,-66.5,-0.172
-1.91,-66.3,-0.166
-1.83,-66.1,-0.159
-1.78,-65.5,-0.155
-1.71,-65.4,-0.149
-1.65,-64.8,-0.143
-1.63,-63.3,-0.142
-1.6,-63.8,-0.139
-1.54,-63.4,-0.134
-1.48,-63.1,-0.129
-1.43,-63.1,-0.124
-1.38,-62.6,-0.12
-1.32,-62.3,-0.115
-1.28,-61.7,-0.111
-1.22,-61.7,-0.106
-1.18,-60.9,-0.103
-1.17,-57.9,-0.101
-1.15,-58.9,-0.1
-1.14,-58.9,-0.099
-1.08,-58.7,-0.094
-1.03,-58.3,-0.09
-0.98,-58.1,-0.085
-0.93,-57.5,-0.081
-0.9,-56.8,-0.078
-0.85,-56.3,-0.074
-0.8,-55.9,-0.07
-0.76,-55.2,-0.066
-0.71,-48.5,-0.062
-0.7,-49.5,-0.061
-0.68,-48.6,-0.059
-0.67,-49.6,-0.058
-0.63,-48.8,-0.054
-0.58,-49.5,-0.051
-0.55,-48.6,-0.048
-0.5,-48.1,-0.044
-0.45,-47.5,-0.039
-0.41,-46.9,-0.035
-0.37,-46.2,-0.032
-0.34,-29.1,-0.03
-0.33,-30,-0.029
-0.32,-29.1,-0.028
-0.31,-30.1,-0.027
-0.3,-29.2,-0.026
-0.29,-28.3,-0.025
-0.26,-29.1,-0.023
-0.25,-28.3,-0.021
-0.23,-27.4,-0.02
-0.19,-26.7,-0.017
-0.17,-25.9,-0.015
-0.15,-25,-0.013
-0.12,-24.2,-0.01
-0.09,-23.4,-0.008
-0.08,-22.5,-0.007
-0.06,-21.6,-0.005
-0.04,-20.9,-0.003
-0.03,-20,-0.002
-0.01,-19.2,-0.001
0,0,0
0.01,0.9,0.001
0.03,2.9,0.002
0.05,3.9,0.004
0.05,5,0.005
0.06,7.4,0.006
0.08,8.4,0.007
0.1,7.5,0.008
0.1,8.5,0.009
