Test unit,C1
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
Displacement,Force,Drift
-9.350000,-87.100000,-0.693000
-9.350000,-88.400000,-0.693000
-9.310000,-89.500000,-0.689000
-9.220000,-90.200000,-0.683000
-9.130000,-90.000000,-0.676000
-9.040000,-89.900000,-0.669000
-8.940000,-89.700000,-0.662000
-8.850000,-89.300000,-0.656000
-8.750000,-89.200000,-0.648000
-8.660000,-89.200000,-0.641000
-8.570000,-88.700000,-0.635000
-8.470000,-88.400000,-0.628000
-8.370000,-88.000000,-0.620000
-8.280000,-87.400000,-0.614000
-8.190000,-87.200000,-0.607000
-8.100000,-86.800000,-0.600000
-8.010000,-86.400000,-0.593000
-7.910000,-86.100000,-0.586000
-7.810000,-85.500000,-0.579000
-7.720000,-85.200000,-0.572000
-7.620000,-84.900000,-0.564000
-7.590000,-89.900000,-0.562000
-7.570000,-91.300000,-0.561000
-7.520000,-92.400000,-0.557000
-7.430000,-92.100000,-0.550000
-7.340000,-92.000000,-0.544000
-7.300000,-88.900000,-0.541000
-7.320000,-90.100000,-0.542000
-7.340000,-91.400000,-0.543000
-7.380000,-92.600000,-0.547000
-7.400000,-93.800000,-0.548000
-7.400000,-95.400000,-0.548000
-7.400000,-97.000000,-0.548000
-7.320000,-97.600000,-0.542000
-7.290000,-104.800000,-0.540000
-7.290000,-106.100000,-0.540000
-7.260000,-107.300000,-0.538000
-7.170000,-107.600000,-0.531000
-7.080000,-107.700000,-0.524000
-6.990000,-107.600000,-0.517000
-6.900000,-107.000000,-0.511000
-6.810000,-106.600000,-0.505000
-6.720000,-106.400000,-0.498000
-6.630000,-105.800000,-0.491000
-6.540000,-105.200000,-0.485000
-6.450000,-104.900000,-0.478000
-6.370000,-104.200000,-0.472000
-6.300000,-103.500000,-0.467000
-6.200000,-103.200000,-0.460000
-6.180000,-105.400000,-0.458000
-6.110000,-106.200000,-0.453000
-6.020000,-106.100000,-0.446000
-5.940000,-105.500000,-0.440000
-5.930000,-104.300000,-0.440000
-5.970000,-105.500000,-0.442000
-6.000000,-106.800000,-0.444000
-6.020000,-108.000000,-0.446000
-6.030000,-109.300000,-0.447000
-6.030000,-110.900000,-0.446000
-5.990000,-112.100000,-0.444000
-5.910000,-112.200000,-0.438000
-5.900000,-115.200000,-0.437000
-5.870000,-116.500000,-0.434000
-5.800000,-116.900000,-0.430000
-5.740000,-116.800000,-0.425000
-5.670000,-116.600000,-0.420000
-5.600000,-116.300000,-0.415000
-5.550000,-115.600000,-0.411000
-5.480000,-115.900000,-0.406000
-5.420000,-115.200000,-0.401000
-5.350000,-114.900000,-0.396000
-5.280000,-114.700000,-0.391000
-5.220000,-113.900000,-0.386000
-5.150000,-113.500000,-0.382000
-5.080000,-113.200000,-0.376000
-5.030000,-112.500000,-0.373000
-4.970000,-111.900000,-0.368000
-4.920000,-111.400000,-0.365000
-4.860000,-110.900000,-0.360000
-4.800000,-110.400000,-0.356000
-4.740000,-109.900000,-0.351000
-4.710000,-102.900000,-0.349000
-4.740000,-104.300000,-0.351000
-4.770000,-105.600000,-0.354000
-4.810000,-106.900000,-0.356000
-4.830000,-108.500000,-0.358000
-4.850000,-109.900000,-0.359000
-4.830000,-111.200000,-0.358000
-4.800000,-112.500000,-0.355000
-4.730000,-112.000000,-0.351000
-4.700000,-107.400000,-0.348000
-4.730000,-108.800000,-0.350000
-4.760000,-110.100000,-0.353000
-4.780000,-111.400000,-0.354000
-4.780000,-112.900000,-0.354000
-4.790000,-114.200000,-0.355000
-4.760000,-115.500000,-0.353000
-4.690000,-116.000000,-0.348000
-4.680000,-118.500000,-0.347000
-4.660000,-120.000000,-0.345000
-4.600000,-120.400000,-0.341000
-4.540000,-120.600000,-0.336000
-4.480000,-120.000000,-0.332000
-4.420000,-120.100000,-0.327000
-4.360000,-119.500000,-0.323000
-4.290000,-119.200000,-0.318000
-4.220000,-118.900000,-0.313000
-4.160000,-118.400000,-0.308000
-4.100000,-117.800000,-0.304000
-4.050000,-117.300000,-0.300000
-4.000000,-116.800000,-0.296000
-3.940000,-116.000000,-0.292000
-3.870000,-115.500000,-0.287000
-3.810000,-114.800000,-0.282000
-3.760000,-114.000000,-0.278000
-3.700000,-113.600000,-0.274000
-3.640000,-112.900000,-0.269000
-3.620000,-109.200000,-0.268000
