Test unit,E1
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-9.18,-31,-0.798
-9.17,-32.5,-0.797
-9.12,-33.1,-0.793
-8.18,-33.5,-0.711
-8.17,-33.4,-0.71
-8.15,-35.2,-0.709
-7.81,-35.8,-0.679
-7.16,-36.4,-0.623
-6.18,-36.2,-0.538
-6.17,-36.6,-0.537
-6.14,-37.2,-0.534
-6.04,-37.4,-0.526
-5.95,-37.3,-0.517
-5.85,-37.3,-0.508
-5.74,-37.3,-0.499
-5.65,-37.4,-0.491
-5.56,-37.2,-0.484
-5.47,-37.1,-0.475
-5.37,-37.3,-0.467
-5.28,-37.1,-0.459
-5.18,-36.6,-0.451
-5.18,-37.1,-0.45
-5.09,-37.3,-0.443
-4.99,-37.4,-0.434
-4.89,-37.4,-0.425
-4.79,-37.3,-0.416
-4.69,-37.3,-0.408
-4.58,-37.2,-0.399
-4.48,-37.1,-0.39
-4.39,-37,-0.381
-4.29,-37,-0.373
-4.21,-35.8,-0.366
-4.2,-36.3,-0.365
-4.19,-37,-0.364
-4.09,-37,-0.356
-3.99,-37,-0.347
-3.9,-36.9,-0.339
-3.8,-36.9,-0.33
-3.7,-36.8,-0.322
-3.6,-36.7,-0.313
-3.5,-36.8,-0.304
-3.41,-36.6,-0.296
-3.31,-36.7,-0.288
-3.23,-35.6,-0.281
-3.2,-36.3,-0.279
-3.11,-36.6,-0.271
-3.02,-36.5,-0.262
-2.91,-36.5,-0.253
-2.83,-36.7,-0.246
-2.77,-36.3,-0.241
-2.68,-36.6,-0.233
-2.61,-36,-0.227
-2.59,-36.6,-0.226
-2.57,-37.3,-0.223
-2.48,-37,-0.216
-2.44,-36,-0.212
-2.42,-36.8,-0.21
-2.32,-37,-0.202
-2.26,-36.6,-0.197
-2.26,-34.3,-0.196
-2.24,-34.2,-0.195
-2.24,-34.8,-0.194
-2.18,-34.7,-0.189
-2.12,-34.7,-0.185
-2.12,-35.2,-0.184
-2.07,-35.7,-0.18
-2.02,-34.6,-0.176
-2.02,-35.2,-0.175
-1.92,-34.9,-0.167
-1.84,-35.5,-0.16
-1.79,-34.8,-0.156
-1.77,-33.8,-0.154
-1.75,-32.7,-0.152
-1.74,-34.6,-0.151
-1.69,-34.8,-0.147
-1.65,-34.4,-0.144
-1.61,-34.6,-0.14
-1.59,-34.1,-0.138
-1.55,-34.5,-0.135
-1.51,-33.8,-0.131
-1.49,-34.4,-0.13
-1.45,-34.8,-0.126
-1.41,-34.5,-0.123
-1.38,-33.8,-0.12
-1.36,-34.4,-0.118
-1.33,-30.7,-0.116
-1.32,-31.4,-0.114
-1.3,-31.8,-0.113
-1.26,-31.8,-0.11
-1.22,-31.7,-0.106
-1.17,-31.7,-0.102
-1.13,-31.7,-0.098
-1.08,-31.5,-0.094
-1.04,-31.5,-0.09
-1,-31.4,-0.087
-0.96,-31.2,-0.083
-0.91,-31.2,-0.079
-0.88,-27.6,-0.077
-0.87,-28.2,-0.076
-0.86,-28.7,-0.075
-0.85,-27.6,-0.074
-0.84,-28.7,-0.073
-0.81,-28.5,-0.07
-0.79,-28.1,-0.069
-0.78,-28.6,-0.068
-0.74,-28.4,-0.064
-0.7,-28.2,-0.061
-0.66,-28.3,-0.057
-0.62,-28.2,-0.054
-0.58,-20.2,-0.051
-0.57,-20.3,-0.05
-0.56,-20.7,-0.049
-0.53,-21.1,-0.046
-0.52,-20.3,-0.045
-0.51,-20.9,-0.044
-0.47,-20.6,-0.041
-0.45,-20.2,-0.04
-0.42,-20.5,-0.036
-0.39,-20.1,-0.034
-0.35,-20.4,-0.03
-0.31,-10.6,-0.027
-0.29,-10.6,-0.026
-0.29,-11,-0.025
-0.27,-10.8,-0.024
-0.24,-11.1,-0.021
-0.24,-11.5,-0.02
-0.21,-10,-0.019
-0.21,-10.7,-0.018
-0.17,-10.5,-0.015
-0.16,-10.8,-0.014
-0.14,-10.5,-0.012
-0.09,-10,-0.008
-0.07,-10,-0.006
-0.06,-9.7,-0.005
-0.04,-8.9,-0.004
-0.04,-9.2,-0.003
-0.01,-9.2,-0.001
0,-0,0
0.01,3.1,0.001
0.02,3.5,0.002
0.03,4.2,0.003
0.04,4.6,0.004
0.06,5.3,0.005
0.08,5.8,0.007
0.09,6.1,0.008
0.1,5.7,0.009
