Test unit,E4
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-6.56,-65.3,-0.571
-6.49,-66,-0.564
-6.4,-66.6,-0.556
-6.3,-66.9,-0.548
-6.2,-67.3,-0.54
-6.1,-67.3,-0.53
-6.06,-68.4,-0.527
-5.96,-68.9,-0.518
-5.87,-69.5,-0.51
-5.84,-70.8,-0.508
-5.8,-72.6,-0.504
-5.75,-73.7,-0.5
-5.64,-73.8,-0.49
-5.57,-74.2,-0.484
-5.56,-75.4,-0.483
-5.54,-76.6,-0.482
-5.49,-77.6,-0.477
-5.45,-75,-0.474
-5.32,-80,-0.463
-5.16,-80.1,-0.449
-5.06,-80.4,-0.44
-4.95,-80.5,-0.431
-4.86,-80.2,-0.422
-4.75,-80.3,-0.413
-4.64,-80.1,-0.404
-4.54,-79.9,-0.395
-4.48,-77.8,-0.39
-4.47,-79.3,-0.389
-4.46,-81.2,-0.388
-4.39,-81.7,-0.382
-4.32,-81.3,-0.376
-4.26,-81.8,-0.37
-4.19,-82.1,-0.364
-4.12,-82.5,-0.358
-4.05,-82.3,-0.352
-3.98,-82.4,-0.346
-3.9,-82.3,-0.339
-3.83,-82,-0.333
-3.76,-82,-0.327
-3.68,-82.2,-0.32
-3.61,-82,-0.314
-3.54,-81.6,-0.308
-3.46,-81.4,-0.301
-3.44,-79,-0.3
-3.44,-80.7,-0.299
-3.41,-80,-0.297
-3.4,-81.4,-0.296
-3.35,-82.3,-0.292
-3.29,-82.9,-0.286
-3.22,-83,-0.28
-3.14,-82.9,-0.273
-3.07,-82.8,-0.267
-2.99,-82.6,-0.26
-2.92,-83.1,-0.254
-2.85,-82.7,-0.248
-2.78,-82.9,-0.241
-2.71,-82.3,-0.235
-2.63,-82.6,-0.229
-2.56,-82.1,-0.223
-2.49,-81.6,-0.217
-2.42,-81.5,-0.211
-2.4,-78.5,-0.209
-2.4,-78.9,-0.208
-2.39,-79.5,-0.207
-2.37,-80.6,-0.206
-2.33,-81.6,-0.202
-2.25,-81.4,-0.196
-2.19,-80.9,-0.19
-2.12,-80.7,-0.184
-2.04,-80.8,-0.178
-1.98,-80.1,-0.172
-1.9,-80.2,-0.165
-1.88,-78.9,-0.164
-1.86,-80.1,-0.162
-1.84,-81.2,-0.16
-1.82,-80.1,-0.159
-1.81,-81.3,-0.157
-1.74,-80.6,-0.152
-1.67,-80.9,-0.145
-1.62,-80.1,-0.141
-1.55,-80.3,-0.135
-1.51,-79.3,-0.131
-1.44,-79.8,-0.125
-1.41,-76.9,-0.123
-1.41,-78,-0.122
-1.38,-77.6,-0.12
-1.35,-77.4,-0.117
-1.32,-77.9,-0.115
-1.29,-77.5,-0.112
-1.26,-76.9,-0.11
-1.23,-77.3,-0.107
-1.2,-77.1,-0.104
-1.17,-76.7,-0.102
-1.14,-76.5,-0.099
-1.11,-76.6,-0.096
-1.08,-76.1,-0.094
-1.05,-75.7,-0.091
-1.02,-76,-0.088
-0.99,-75.7,-0.086
-0.98,-70.5,-0.085
-0.96,-70.6,-0.084
-0.96,-71.6,-0.083
-0.92,-71.8,-0.08
-0.89,-71.4,-0.078
-0.87,-71.8,-0.075
-0.84,-71.4,-0.073
-0.82,-70.5,-0.071
-0.79,-71.2,-0.069
-0.76,-70.8,-0.067
-0.74,-70.9,-0.064
-0.71,-70.3,-0.062
-0.68,-69.8,-0.059
-0.65,-69.7,-0.056
-0.61,-69.8,-0.053
-0.58,-56.4,-0.051
-0.58,-57.5,-0.05
-0.57,-58.5,-0.049
-0.55,-59.5,-0.048
-0.54,-58.4,-0.047
-0.51,-59.1,-0.044
-0.5,-57.8,-0.043
-0.48,-58.6,-0.042
-0.45,-58.2,-0.039
-0.42,-58.1,-0.037
-0.4,-57.7,-0.035
-0.38,-56.8,-0.033
-0.36,-57.3,-0.031
-0.34,-56.5,-0.029
-0.31,-56.4,-0.027
-0.27,-33.2,-0.024
-0.25,-34.7,-0.022
-0.24,-33.8,-0.02
-0.21,-34.2,-0.018
-0.19,-33.3,-0.017
-0.16,-32.1,-0.014
-0.14,-31.6,-0.012
-0.12,-30.8,-0.01
-0.09,-31,-0.008
-0.07,-30,-0.006
-0.05,-29.3,-0.005
-0.04,-28.5,-0.004
-0.02,-27.7,-0.002
0,0,0
0.01,2.5,0.001
0.02,4.7,0.002
